iter	MultiClass
0	1.04561336
1	0.996568164
2	0.9482356709
3	0.9168404835
4	0.8833758719
5	0.8542238603
6	0.8292830266
7	0.802990122
8	0.7824068864
9	0.7630743504
10	0.7479121365
11	0.7341717181
12	0.7185551474
13	0.7047577224
14	0.6948865842
15	0.6816548623
16	0.6671692094
17	0.659431199
18	0.6531100776
19	0.6442292782
20	0.6357479487
21	0.6289539511
22	0.6241020977
23	0.6168505288
24	0.6121190492
25	0.6069476117
26	0.6023502211
27	0.5979058406
28	0.5927245197
29	0.5887972784
30	0.5813512164
31	0.5766936023
32	0.5711836926
33	0.5663846943
34	0.560652236
35	0.5578005667
36	0.5553330474
37	0.5523254065
38	0.5490900661
39	0.5446903168
40	0.5423063007
41	0.5398378254
42	0.5350944114
43	0.5337574749
44	0.530522096
45	0.5287702542
46	0.5245838965
47	0.5216603756
48	0.5206622108
49	0.5167251786
50	0.5147232127
51	0.5120736382
52	0.5096037224
53	0.5077539966
54	0.5051753835
55	0.5034115296
56	0.5010924372
57	0.4994288306
58	0.4970518821
59	0.494567799
60	0.4927710253
61	0.4907353238
62	0.4880653353
63	0.4860146795
64	0.4843149878
65	0.4823001912
66	0.4801759192
67	0.476631704
68	0.4744189272
69	0.4712824402
70	0.4686632645
71	0.466757479
72	0.4649454144
73	0.4633505081
74	0.4605239833
75	0.4560339646
76	0.4549478889
77	0.4528087942
78	0.4501813384
79	0.4482124094
80	0.4463711147
81	0.4427621981
82	0.4405002149
83	0.4381093086
84	0.4374509386
85	0.4353418138
86	0.434340915
87	0.4334532464
88	0.4293953619
89	0.4279209985
90	0.4256433042
91	0.4221613616
92	0.4210796664
93	0.4201502681
94	0.4169618275
95	0.4149764292
96	0.4128268618
97	0.4107015567
98	0.4095456633
99	0.4076625276
100	0.4059159797
101	0.4039071934
102	0.4015832599
103	0.3993577193
104	0.3971320754
105	0.3952257924
106	0.3932047624
107	0.3907101056
108	0.3881640305
109	0.3866304779
110	0.3851475218
111	0.3831881212
112	0.3819509268
113	0.3805439081
114	0.3789133759
115	0.3770055952
116	0.3757125651
117	0.3736086486
118	0.3723260977
119	0.3706817552
120	0.3690790977
121	0.3675028686
122	0.3651962387
123	0.3630462025
124	0.3615656098
125	0.3593355661
126	0.3576727194
127	0.3561977007
128	0.3547052969
129	0.3535582696
130	0.3522485543
131	0.3511066223
132	0.3493251015
133	0.348030345
134	0.3460024449
135	0.3442678788
136	0.3424654565
137	0.3413412526
138	0.3400274627
139	0.3389084946
140	0.3378110243
141	0.3363672213
142	0.3343760521
143	0.3332457963
144	0.3319358454
145	0.330782642
146	0.3295551303
147	0.3283082163
148	0.326939522
149	0.3255696388
150	0.324687929
151	0.3236885432
152	0.3223255755
153	0.3217300632
154	0.3202474859
155	0.3193625141
156	0.317693659
157	0.3166443741
158	0.315363369
159	0.3142699025
160	0.3120222833
161	0.3107288437
162	0.309680139
163	0.3088945444
164	0.3080506481
165	0.3068275684
166	0.3055602785
167	0.3047315949
168	0.3035712122
169	0.3024301798
170	0.3012425723
171	0.2998932484
172	0.2988628529
173	0.298048508
174	0.2971021264
175	0.296105268
176	0.2951510336
177	0.2939270418
178	0.2931959213
179	0.2919437754
180	0.2907301963
181	0.289893392
182	0.2888761866
183	0.2880436653
184	0.2870101984
185	0.2855634841
186	0.2849562089
187	0.2841026908
188	0.2833416828
189	0.2823899583
190	0.281261515
191	0.2803948475
192	0.2789426866
193	0.2781264776
194	0.2773042116
195	0.2759251454
196	0.2752739904
197	0.2746806093
198	0.2736765621
199	0.2730852271
200	0.272476122
201	0.2715168144
202	0.2708679152
203	0.2698290895
204	0.2691322013
205	0.2679328447
206	0.267159516
207	0.2664260557
208	0.2656864162
209	0.2650448802
210	0.2638545915
211	0.262662709
212	0.2620793211
213	0.2614169356
214	0.2606801502
215	0.2598966051
216	0.2590745819
217	0.2583648263
218	0.2577505149
219	0.2567684065
220	0.2554817859
221	0.2547800716
222	0.2537074129
223	0.2530375852
224	0.2520545149
225	0.251459999
226	0.2509573718
227	0.2502201252
228	0.2497222968
229	0.2492031949
230	0.2486234211
231	0.2480665598
232	0.2475324578
233	0.2470093851
234	0.2465062459
235	0.2459599607
236	0.2454819341
237	0.2448275753
238	0.2440680771
239	0.243367653
240	0.242640361
241	0.2418430633
242	0.2412502834
243	0.2407337431
244	0.2401989578
245	0.2395383569
246	0.2390891318
247	0.2383163868
248	0.2378790806
249	0.2373193368
250	0.2367316904
251	0.2361523374
252	0.2356496269
253	0.2351518793
254	0.2344069503
255	0.2336833795
256	0.2331823495
257	0.2327213284
258	0.2322092143
259	0.2317608831
260	0.2310230714
261	0.2305899097
262	0.2296751334
263	0.2291610559
264	0.2286796313
265	0.2282687505
266	0.2277362447
267	0.2273331609
268	0.22693894
269	0.2263936374
270	0.2256289502
271	0.2249969004
272	0.2244305706
273	0.2239129572
274	0.2234427339
275	0.2229834572
276	0.2225403584
277	0.2218314292
278	0.2213895697
279	0.2210018101
280	0.2204572729
281	0.2199639926
282	0.2194721799
283	0.2190165753
284	0.2185053192
285	0.2182011084
286	0.2177356618
287	0.2173931101
288	0.2166892784
289	0.2162153791
290	0.2159173466
291	0.2154397441
292	0.2150958447
293	0.2147032339
294	0.2143148941
295	0.2138611545
296	0.2132591863
297	0.212682015
298	0.2123133836
299	0.211920867
300	0.2115655508
301	0.2108251923
302	0.2105516857
303	0.210066998
304	0.2094993355
305	0.2090212448
306	0.2085568134
307	0.2082024009
308	0.2077524463
309	0.2072503075
310	0.206905577
311	0.206398147
312	0.205954185
313	0.2055992311
314	0.2051320707
315	0.2046521217
316	0.203940185
317	0.2035435702
318	0.203116415
319	0.2028115529
320	0.202527507
321	0.202200508
322	0.2015690942
323	0.2012094092
324	0.2008383816
325	0.2004326374
326	0.2000138907
327	0.1996493393
328	0.1991211522
329	0.1987874701
330	0.1982819102
331	0.1979983284
332	0.1976154482
333	0.1971516332
334	0.1968282007
335	0.196387592
336	0.1960761065
337	0.195778869
338	0.1954063662
339	0.1949770381
340	0.194667724
341	0.1943585358
342	0.1940366114
343	0.1936721691
344	0.1933390674
345	0.1930010033
346	0.1926065183
347	0.1921852736
348	0.1918428016
349	0.1915579102
350	0.1911603574
351	0.1907971957
352	0.1904084146
353	0.1899971011
354	0.1896853375
355	0.1892830749
356	0.1887965833
357	0.1884825806
358	0.1880584424
359	0.1877618362
360	0.1874581597
361	0.1871675883
362	0.1868727767
363	0.1865510729
364	0.1861244265
365	0.1857967091
366	0.1854648278
367	0.1851927026
368	0.1848805024
369	0.1844433425
370	0.1841729872
371	0.1838952921
372	0.1836027929
373	0.1833423185
374	0.183055422
375	0.182818688
376	0.1825524684
377	0.1821712617
378	0.1819371368
379	0.1815983621
380	0.1813565619
381	0.1811025424
382	0.1808346453
383	0.1802244555
384	0.1797397397
385	0.1794875022
386	0.1791072151
387	0.1787689114
388	0.1785711375
389	0.1783380582
390	0.1778261713
391	0.1774592192
392	0.1770405341
393	0.1765786881
394	0.1763170822
395	0.1760463323
396	0.1757373991
397	0.1755450521
398	0.1752882882
399	0.1750729821
400	0.1747271265
401	0.1744312016
402	0.1742142969
403	0.1739055046
404	0.1737082733
405	0.1733329083
406	0.173149526
407	0.172809765
408	0.1726201321
409	0.1723817841
410	0.1721559261
411	0.1717096726
412	0.1714457582
413	0.1712207286
414	0.1709760488
415	0.1706566337
416	0.1704293972
417	0.1701383244
418	0.1698766806
419	0.1695440253
420	0.1690200841
421	0.1687427193
422	0.168355026
423	0.1680726946
424	0.1678703038
425	0.167625478
426	0.1674281037
427	0.1671589402
428	0.166763507
429	0.1665705396
430	0.1663958346
431	0.1660188625
432	0.1656895983
433	0.1654036647
434	0.1651886302
435	0.165016452
436	0.1647881792
437	0.1641467428
438	0.1639183219
439	0.1635552159
440	0.1632836724
441	0.1630798225
442	0.1627562642
443	0.1623866818
444	0.1621001772
445	0.1617230362
446	0.161389635
447	0.1612382664
448	0.1610505404
449	0.1607697323
450	0.1605525474
451	0.1603266683
452	0.160141992
453	0.1598340555
454	0.1596409198
455	0.1594323063
456	0.1591587456
457	0.158878042
458	0.1586104159
459	0.1582749777
460	0.1580215529
461	0.1578305419
462	0.1576777692
463	0.1573624883
464	0.1571678226
465	0.1569581963
466	0.1567507712
467	0.1565152592
