iter	Passed	Remaining
0	144	144112
1	145	72712
2	147	48898
3	148	36974
4	149	29828
5	151	25079
6	152	21667
7	154	19109
8	155	17115
9	156	15533
10	158	14230
11	159	13142
12	160	12221
13	162	11432
14	163	10747
15	165	10149
16	166	9624
17	167	9154
18	169	8736
19	170	8358
20	171	8014
21	173	7705
22	174	7422
23	176	7164
24	177	6928
25	179	6709
26	180	6505
27	181	6315
28	183	6138
29	184	5971
30	186	5814
31	187	5667
32	188	5531
33	190	5401
34	191	5278
35	192	5165
36	194	5059
37	195	4958
38	197	4866
39	198	4775
40	200	4692
41	202	4615
42	204	4541
43	205	4467
44	207	4395
45	208	4323
46	209	4255
47	211	4188
48	212	4126
49	213	4065
50	215	4007
51	216	3954
52	218	3901
53	219	3848
54	221	3798
55	222	3749
56	224	3707
57	225	3667
58	227	3624
59	228	3581
60	229	3539
61	231	3500
62	233	3465
63	234	3428
64	235	3392
65	237	3356
66	238	3321
67	239	3287
68	241	3255
69	242	3224
70	244	3192
71	245	3163
72	246	3135
73	248	3110
74	250	3085
75	251	3058
76	252	3031
77	254	3006
78	256	2985
79	257	2963
80	259	2941
81	260	2920
82	262	2898
83	263	2876
84	265	2856
85	266	2834
86	268	2812
87	269	2791
88	270	2771
89	272	2751
90	273	2731
91	274	2712
92	276	2693
93	277	2675
94	279	2659
95	280	2641
96	281	2623
97	283	2606
98	284	2590
99	285	2573
100	287	2557
101	288	2541
102	290	2525
103	291	2511
104	292	2495
105	294	2481
106	295	2466
107	296	2452
108	298	2438
109	299	2425
110	301	2411
111	302	2398
112	303	2385
113	305	2371
114	306	2359
115	308	2347
116	309	2335
117	310	2323
118	312	2311
119	313	2300
120	315	2289
121	316	2278
122	318	2269
123	319	2259
124	321	2249
125	322	2239
126	324	2228
127	325	2217
128	326	2207
129	328	2197
130	329	2186
131	331	2176
132	332	2166
133	333	2156
134	335	2147
135	336	2137
136	337	2127
137	339	2118
138	340	2108
139	341	2099
140	343	2090
141	344	2081
142	345	2072
143	347	2063
144	348	2055
145	349	2046
146	351	2038
147	352	2029
148	353	2021
149	355	2013
150	356	2005
151	357	1996
152	359	1989
153	360	1981
154	362	1973
155	363	1966
156	364	1958
157	366	1951
158	367	1943
159	368	1936
160	370	1929
161	371	1922
162	372	1914
163	374	1907
164	375	1901
165	377	1894
166	378	1888
167	380	1882
168	381	1877
169	383	1871
170	384	1865
171	386	1859
172	387	1853
173	389	1846
174	390	1840
175	391	1835
176	393	1829
177	394	1823
178	396	1817
179	398	1813
180	399	1807
181	401	1802
182	402	1797
183	404	1792
184	405	1787
185	407	1783
186	409	1779
187	410	1774
188	412	1770
189	414	1765
190	415	1760
191	417	1755
192	418	1750
193	419	1744
194	421	1739
195	422	1733
196	424	1728
197	425	1723
198	426	1717
199	428	1712
200	429	1707
201	430	1702
202	432	1697
203	433	1691
204	434	1686
205	436	1681
206	437	1676
207	439	1672
208	440	1667
209	442	1662
210	443	1658
211	445	1654
212	446	1650
213	448	1645
214	449	1641
215	450	1636
216	452	1632
217	453	1627
218	455	1623
219	456	1619
220	458	1614
221	459	1610
222	460	1606
223	462	1601
224	463	1597
225	465	1592
226	466	1588
227	467	1584
228	469	1579
229	470	1575
230	471	1571
231	473	1567
232	474	1563
233	476	1559
234	477	1555
235	479	1551
236	480	1548
237	482	1544
238	484	1541
239	485	1537
240	486	1533
241	488	1530
242	490	1527
243	491	1523
244	493	1520
245	494	1516
246	496	1512
247	497	1509
248	499	1505
249	500	1501
250	502	1498
251	503	1495
252	505	1492
253	507	1489
254	508	1485
255	510	1482
256	511	1479
257	513	1476
258	514	1472
259	516	1469
260	518	1466
261	519	1464
262	521	1461
263	523	1458
264	524	1455
265	526	1452
266	527	1449
267	529	1446
268	530	1442
269	532	1439
270	534	1436
271	535	1433
272	537	1430
273	538	1426
274	540	1423
275	541	1420
276	542	1416
277	544	1413
278	545	1410
279	547	1408
280	549	1405
281	550	1402
282	552	1399
283	554	1397
284	555	1394
285	557	1391
286	558	1388
287	560	1385
288	561	1382
289	578	1417
290	580	1414
291	581	1410
292	583	1406
293	584	1403
294	585	1400
295	587	1396
296	588	1393
297	589	1389
298	591	1386
299	592	1383
300	594	1380
301	596	1377
302	597	1374
303	598	1371
304	600	1368
305	601	1365
306	603	1362
307	605	1359
308	606	1356
309	608	1353
310	609	1350
311	610	1347
312	612	1344
313	613	1340
314	615	1338
315	616	1335
316	618	1332
317	620	1329
318	621	1326
319	622	1323
320	624	1321
321	626	1318
322	627	1315
323	629	1312
324	630	1309
325	631	1306
326	633	1303
327	634	1300
328	636	1297
329	637	1294
330	638	1290
331	640	1287
332	641	1284
333	642	1282
334	644	1279
335	645	1275
336	647	1272
337	648	1269
338	649	1266
339	651	1264
340	652	1261
341	653	1258
342	655	1255
343	656	1252
344	657	1249
345	659	1246
346	660	1243
347	662	1240
348	663	1237
349	665	1235
350	666	1232
351	668	1229
352	669	1227
353	670	1224
354	672	1221
355	673	1218
356	675	1216
357	676	1213
358	678	1210
359	679	1208
360	681	1205
361	682	1202
362	683	1199
363	685	1197
364	686	1194
365	688	1192
366	689	1189
367	691	1187
368	692	1184
369	694	1181
370	695	1179
371	696	1176
372	698	1173
373	699	1170
374	700	1168
375	702	1165
376	703	1162
377	704	1160
378	706	1157
379	707	1154
380	708	1151
381	710	1149
382	711	1146
383	713	1144
384	714	1141
385	715	1138
386	717	1136
387	718	1133
388	720	1131
389	721	1128
390	722	1125
391	724	1123
392	725	1120
393	727	1118
394	728	1115
395	729	1113
396	731	1110
397	732	1108
398	734	1105
399	735	1103
400	736	1100
401	738	1097
402	739	1095
403	740	1092
404	742	1090
405	743	1088
406	745	1085
407	746	1083
408	747	1080
409	749	1078
410	751	1076
411	752	1074
412	754	1072
413	755	1069
414	757	1067
415	759	1065
416	760	1063
417	762	1061
418	763	1058
419	765	1056
420	766	1054
421	767	1051
422	769	1049
423	770	1046
424	772	1044
425	773	1042
426	774	1039
427	776	1037
428	777	1035
429	779	1033
430	780	1030
431	782	1028
432	783	1026
433	784	1023
434	786	1021
435	787	1019
436	789	1016
437	790	1014
438	791	1012
439	793	1009
440	795	1008
441	797	1006
442	798	1003
443	799	1001
444	801	999
445	802	997
446	804	994
447	805	992
448	806	990
449	808	988
450	810	986
451	811	984
452	813	982
453	815	980
454	816	978
455	818	976
456	819	974
457	821	971
458	822	969
459	823	967
460	825	965
461	826	962
462	828	960
463	829	958
464	830	955
465	832	953
466	833	951
467	834	949
468	836	946
469	837	944
470	839	942
471	840	940
472	841	938
473	843	935
474	844	933
475	845	931
476	847	929
477	848	926
478	849	924
479	851	922
480	852	920
481	854	917
482	855	915
483	856	913
484	858	911
485	859	909
486	861	907
487	862	905
488	863	902
489	865	900
490	866	898
491	868	896
492	869	894
493	871	892
494	872	890
495	874	888
496	875	886
497	877	884
498	878	882
499	880	880
500	881	878
501	883	875
502	884	873
503	885	871
504	887	869
505	888	867
506	890	865
507	891	863
508	893	861
509	894	859
510	895	857
511	897	855
512	898	853
513	899	850
514	901	848
515	902	846
516	903	844
517	905	842
518	906	840
519	908	838
520	909	836
521	911	834
522	912	832
523	913	830
524	915	828
525	916	826
526	917	823
527	919	821
528	920	819
529	922	817
530	923	815
531	924	813
532	926	811
533	927	809
534	928	807
535	930	805
536	931	803
537	933	801
538	934	799
539	936	797
540	937	795
541	939	793
542	940	791
543	942	789
544	943	787
545	944	785
546	946	783
547	947	781
548	948	779
549	950	777
550	951	775
551	952	773
552	954	771
553	955	769
554	957	767
555	958	765
556	959	763
557	961	761
558	962	759
559	964	757
560	965	755
561	966	753
562	968	751
563	969	749
564	971	747
565	972	745
566	974	743
567	975	741
568	976	739
569	978	737
570	979	735
571	981	734
572	982	732
573	984	730
574	985	728
575	987	726
576	988	724
577	990	722
578	992	721
579	993	719
580	995	717
581	997	716
582	999	714
583	1001	713
584	1003	711
585	1005	710
586	1007	708
587	1009	707
588	1011	705
589	1013	704
590	1014	702
591	1016	700
592	1017	698
593	1019	696
594	1021	695
595	1022	693
596	1024	691
597	1025	689
598	1027	687
599	1028	685
600	1030	684
601	1032	682
602	1033	680
603	1035	678
604	1036	676
605	1037	674
606	1039	672
607	1040	671
608	1042	669
609	1044	667
610	1046	666
611	1047	664
612	1049	662
613	1051	660
614	1052	658
615	1054	657
616	1055	655
617	1057	653
618	1059	651
619	1060	650
620	1062	648
621	1064	646
622	1066	645
623	1067	643
624	1069	641
625	1070	639
626	1072	637
627	1073	636
628	1075	634
629	1076	632
630	1078	630
631	1079	628
632	1081	626
633	1082	624
634	1084	623
635	1085	621
636	1087	619
637	1088	617
638	1090	615
639	1091	613
640	1092	611
641	1094	610
642	1095	608
643	1096	606
644	1098	604
645	1099	602
646	1101	600
